id_student,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,resource,sharedsubpage,subpage,url,cluster,cluster_label
26734,0,0,0,0,16,1,63,19,53,0,0,0,0,5,30,0,15,1,0,Moderate Engagement
32327,0,0,0,0,135,0,98,8,114,0,0,0,0,55,10,0,7,0,0,Moderate Engagement
32930,0,0,0,0,0,0,96,0,151,0,0,0,0,152,21,0,16,2,0,Moderate Engagement
34431,0,0,0,0,104,0,54,0,0,0,0,0,0,16,1,0,8,9,0,Moderate Engagement
34662,0,0,0,0,14,0,106,2,62,0,0,0,0,0,20,0,8,2,0,Moderate Engagement
38711,0,0,0,0,4,1,39,0,50,0,0,0,0,58,7,0,6,4,0,Moderate Engagement
47891,0,0,0,0,0,0,25,0,7,0,0,0,0,8,8,0,14,2,0,Moderate Engagement
53236,0,0,0,0,0,0,10,0,29,0,0,0,0,0,3,0,0,0,0,Moderate Engagement
57285,0,0,0,0,4,3,43,1,143,0,0,0,0,16,14,0,58,1,0,Moderate Engagement
58653,0,0,0,0,2,0,102,5,203,0,0,0,0,0,64,0,5,2,0,Moderate Engagement
61352,0,0,0,0,47,0,41,0,55,0,0,0,0,0,7,0,4,0,0,Moderate Engagement
63467,0,0,0,0,0,0,97,0,442,0,0,0,0,71,44,0,18,1,0,Moderate Engagement
70569,0,0,0,0,0,0,125,0,485,0,0,0,9,165,25,0,21,0,0,Moderate Engagement
70750,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,9,0,0,Moderate Engagement
72349,0,0,0,0,10,0,18,0,42,0,0,0,0,0,3,0,11,0,0,Moderate Engagement
73584,0,0,0,0,5,0,39,3,38,0,0,0,0,89,12,0,10,0,0,Moderate Engagement
84541,0,0,0,0,0,0,20,0,15,0,0,0,0,52,5,0,1,0,0,Moderate Engagement
98452,0,0,0,0,0,0,16,0,14,0,0,0,0,0,2,0,2,1,0,Moderate Engagement
98842,0,0,0,0,103,1,78,2,90,0,0,0,0,52,15,0,25,2,0,Moderate Engagement
99088,0,0,0,0,21,0,64,0,108,0,0,0,0,90,5,0,4,2,0,Moderate Engagement
102067,0,0,0,0,0,0,21,0,27,0,0,0,0,1,5,0,1,0,0,Moderate Engagement
103998,0,0,0,0,6,0,0,0,23,0,0,0,0,0,1,0,0,0,0,Moderate Engagement
106793,0,0,0,0,8,0,58,0,289,0,0,0,0,0,40,0,4,1,0,Moderate Engagement
110911,0,0,0,0,29,0,121,1,290,0,0,0,0,45,14,0,20,0,0,Moderate Engagement
116606,0,0,0,0,6,0,64,4,307,0,0,0,0,18,15,0,40,0,0,Moderate Engagement
117545,0,0,0,0,17,1,78,0,299,0,0,0,0,28,10,0,6,3,0,Moderate Engagement
118213,0,0,0,0,4,1,8,1,6,0,0,0,0,0,0,0,0,1,0,Moderate Engagement
118877,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,Moderate Engagement
123087,0,0,0,0,43,0,69,3,264,0,0,0,0,0,28,0,23,0,0,Moderate Engagement
125535,0,0,0,0,6,0,47,5,65,0,0,0,0,0,17,0,42,0,0,Moderate Engagement
125874,0,0,0,0,0,0,5,0,32,0,0,0,0,0,3,0,0,0,0,Moderate Engagement
132924,0,0,0,0,0,0,14,0,1,0,0,0,0,0,4,0,2,0,0,Moderate Engagement
145280,0,0,0,0,16,0,181,0,345,0,0,0,0,30,52,0,37,1,0,Moderate Engagement
